node	group	median	range	taxa	members
50	unknown	19.7	17.7 - 21.7	3	Aotus_trivirgatus, Callithrix_jacchus, Saimiri_boliviensis
51	Cebidae	18.4	15.5 - 21.3	2	Aotus_trivirgatus, Callithrix_jacchus
52	Catarrhini	29.4	27.6 - 31.3	15	Chlorocebus_aethiops, Colobus_guereza, Erythrocebus_patas, Gorilla_gorilla, Homo_sapiens, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Pan_troglodytes, Papio_cynocephalus, Pongo_pygmaeus
53	Cercopithecidae	19.4	16.2 - 22.6	11	Chlorocebus_aethiops, Colobus_guereza, Erythrocebus_patas, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Papio_cynocephalus
54	Cercopithecinae	13.7	10.4 - 17.1	10	Chlorocebus_aethiops, Erythrocebus_patas, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Papio_cynocephalus
55	unknown	12.4	9.0 - 14.9	8	Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Papio_cynocephalus
56	unknown	12.4	3.5 - 22.2	3	Mandrillus_leucophaeus, Mandrillus_sphinx, Papio_cynocephalus
57	Mandrillus	2.03	0.49 - 3.57	2	Mandrillus_leucophaeus, Mandrillus_sphinx
58	unknown	5.3	3.6 - 7.0	5	Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina
59	unknown	4.53	3.00 - 6.05	4	Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta
60	unknown	3.69	2.51 - 4.87	3	Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta
61	unknown	2.37	0.95 - 3.79	2	Macaca_fuscata, Macaca_mulatta
62	unknown	5.9	4.1 - 7.7	2	Chlorocebus_aethiops, Erythrocebus_patas
63	Hominidae	15.8	14.7 - 16.8	4	Gorilla_gorilla, Homo_sapiens, Pan_troglodytes, Pongo_pygmaeus
64	Homininae	9.1	8.4 - 9.7	3	Gorilla_gorilla, Homo_sapiens, Pan_troglodytes
65	unknown	6.65	6.23 - 7.07	2	Homo_sapiens, Pan_troglodytes
66	Elephantidae	17.1	9.4 - 22.6	2	Elephas_maximus, Loxodonta_africana
